title;ref;price
Реальные Фото! 2комн. 52м2, ЖК Дуэт, 1 Секция, р-н Алексеевка, 104660;"https://www.olx.ua/obyavlenie/realnye-foto-2komn-52m2-zhk-duet-1-sektsiya-r-n-alekseevka-104660-IDLygL9.html#601302ccdd;promoted";2 892 456 грн.
Продам квартиру 2 спальни + кухня-студия в ЖК Монте Плаза Павлово Поле;"https://www.olx.ua/obyavlenie/prodam-kvartiru-2-spalni-kuhnya-studiya-v-zhk-monte-plaza-pavlovo-pole-IDLxnqA.html#601302ccdd;promoted";5 096 232 грн.
Сдам квартиру новострой ЖК Садыба, 23 августа, Павлово Поле;"https://www.olx.ua/obyavlenie/sdam-kvartiru-novostroy-zhk-sadyba-23-avgusta-pavlovo-pole-IDLsp6x.html#601302ccdd;promoted";12 000 грн.
Сдам однокомнатную квартиру, у метро Героев Труда;"https://www.olx.ua/obyavlenie/sdam-odnokomnatnuyu-kvartiru-u-metro-geroev-truda-IDJ4YcX.html#601302ccdd;promoted";10 000 грн.
Сдам 2к кв метро Холодная Гора;"https://www.olx.ua/obyavlenie/sdam-2k-kv-metro-holodnaya-gora-IDLj5DK.html#601302ccdd;promoted";9 000 грн.
2к квартира Холодная Гора;https://www.olx.ua/obyavlenie/2k-kvartira-holodnaya-gora-IDLzzLa.html#601302ccdd;6 800 грн.
Отличная  3х ком квартира ЖК Сокольники! Лесопарк! B;https://www.olx.ua/obyavlenie/otlichnaya-3h-kom-kvartira-zhk-sokolniki-lesopark-b-IDLnhXS.html#601302ccdd;1 845 662 грн.
"В продаже 2-к. квартира в элитном ЖК ""Белый слон"", Сокольники";https://www.olx.ua/obyavlenie/v-prodazhe-2-k-kvartira-v-elitnom-zhk-belyy-slon-sokolniki-IDLrY4n.html#601302ccdd;2 614 229 грн.
НОВОСТРОЙ ЖК ГИДРОПАРК, В продаже 1-комн. квартира 6/9 эт,19500 $.AM;https://www.olx.ua/obyavlenie/novostroy-zhk-gidropark-v-prodazhe-1-komn-kvartira-6-9-et-19500-am-IDLnhRr.html#601302ccdd;537 170 грн.
Сдам комнату в аренду;https://www.olx.ua/obyavlenie/sdam-komnatu-v-arendu-IDKmydW.html#601302ccdd;2 800 грн.
Сдам 1к квартиру в ЖК Левада;https://www.olx.ua/obyavlenie/sdam-1k-kvartiru-v-zhk-levada-IDLnhNn.html#601302ccdd;10 500 грн.
ЖК Птичка дом Сдан;https://www.olx.ua/obyavlenie/zhk-ptichka-dom-sdan-IDLe6AY.html#601302ccdd;606 038 грн.
Продам квартиру в новострое на Салтовке. Метро Академика Павлова;"https://www.olx.ua/obyavlenie/prodam-kvartiru-v-novostroe-na-saltovke-metro-akademika-pavlova-IDLx5gs.html#601302ccdd;promoted";790 605 грн.
СРОЧНО!20000$!ЖК Гидропарк, 1 ком квартира S=40м2,этаж 8й!Не торец!A;https://www.olx.ua/obyavlenie/srochno-20000-zhk-gidropark-1-kom-kvartira-s40m2-etazh-8y-ne-torets-a-IDLnhHj.html#601302ccdd;550 944 грн.
3к квартира ЮЖД;https://www.olx.ua/obyavlenie/3k-kvartira-yuzhd-IDLgfzh.html#601302ccdd;8 500 грн.
Квартира с ремонтом в ЖК Мир;https://www.olx.ua/obyavlenie/kvartira-s-remontom-v-zhk-mir-IDJOpP8.html#601302ccdd;8 264 160 грн.
Аналогов нет! ЖК Мира 3, дом №9! 2 ком квартира S=53,35м2, этаж 3й! A;https://www.olx.ua/obyavlenie/analogov-net-zhk-mira-3-dom-9-2-kom-kvartira-s53-35m2-etazh-3y-a-IDLnhr5.html#601302ccdd;853 963 грн.
ЖК МИРА3!СПЕШИТЕ!Продам 2 комн.квартиру за 31000$ на ХТЗ ТА;https://www.olx.ua/obyavlenie/zhk-mira3-speshite-prodam-2-komn-kvartiru-za-31000-na-htz-ta-IDLnhqt.html#601302ccdd;853 963 грн.
33000 уе ЖК Сказка! 1 ком квартира в новострое на Холодной горе B;https://www.olx.ua/obyavlenie/33000-ue-zhk-skazka-1-kom-kvartira-v-novostroe-na-holodnoy-gore-b-IDLnhm7.html#601302ccdd;909 058 грн.
Двухуровневая гостинка с ремонтом 50 м2-31999$!Спеши!Рядом Метро;https://www.olx.ua/obyavlenie/dvuhurovnevaya-gostinka-s-remontom-50-m2-31999-speshi-ryadom-metro-IDKV1qV.html#601302ccdd;881 483 грн.
ЖК Победа-2 ДОМ 2 Новострой Алексеевка Продам 1к. кв. 49м 4/9 ДОМ СДАН;"https://www.olx.ua/obyavlenie/zhk-pobeda-2-dom-2-novostroy-alekseevka-prodam-1k-kv-49m-4-9-dom-sdan-IDLxWGK.html#601302ccdd;promoted";867 737 грн.
Новострой, ЖК Мира дом 25. Продам. Реальная квартира.;"https://www.olx.ua/obyavlenie/novostroy-zhk-mira-dom-25-prodam-realnaya-kvartira-IDLq8Lj.html#601302ccdd;promoted";895 284 грн.
СРОЧНО! 18000$! ЖК Птичка, дом №5! 1 ком квартира S=35,22м2! A;https://www.olx.ua/obyavlenie/srochno-18000-zhk-ptichka-dom-5-1-kom-kvartira-s35-22m2-a-IDLzz42.html#601302ccdd;495 850 грн.
Выгодная квартира в новострое ЖК ГИДРОПАРК, Салтовка 40,05 м2.AM;https://www.olx.ua/obyavlenie/vygodnaya-kvartira-v-novostroe-zhk-gidropark-saltovka-40-05-m2-am-IDLngTv.html#601302ccdd;517 887 грн.
