;title;ref;location;price;type_b;etajnost;etaj;komnati;opis
0;Продам 2к квартиру в новострое ЖК Гауди Холл метро Проспект Гагарина;"https://www.olx.ua/d/obyavlenie/prodam-2k-kvartiru-v-novostroe-zhk-gaudi-holl-metro-prospekt-gagarina-IDN79np.html#ea76f6cdc2;promoted";Основянский;57000.0;Бизнес;9;7;2;"Продается квартира в новострое ЖК Гауди Холл (Gaudi Hall) возле станции метро Проспект Гагарина. Дом заселен, работает лифт, подъезд закрыт на домофон. Двор с детской площадкой, огорожен, с видеонаблюдением.

Отличная планировка: спальня, кухня-гостиная и санузел Общая площадь квартиры, включая балкон - 64 кв.м.
Квартира находится на 7 этаже, прекрасный вид из окон

Завершены все черновые работы:
В квартире разведена электрика, интернет и сигнализация. Сделана стяжка пола и штукатурка. Потолок и колонны тепло- и звукоизолированы. Установлены энергосберегающие панорамные окна. Площадь квартиры используется максимально полезно.
В районе прекрасная инфраструктура: школы, детские сады, почтовые службы, магазины, транспорт и парки.
Квартира находится очень близко от метро и супермаркетов Класс и АТБ
До набережной и аллеи сакур - 2 минуты, до ""Моста Всех Влюбленных"" и сквера ""Стрелка"" - 10 минут прогулочным шагом. До ТРЦ ""Никольский"" - 15 минут.

Продажа от собственника."
1;В продаже 2-х ком.квартира, Новые дома, Садовый пр-д!;"https://www.olx.ua/d/obyavlenie/v-prodazhe-2-h-kom-kvartira-novye-doma-sadovyy-pr-d-IDMKfaR.html#ea76f6cdc2;promoted";Слободской;41000.0;Бизнес;16;5;2;Сорвался задаток!Продам 2-х ком.квартиру, Новые дома, м.Дворец спорта. Квартира в жилом состоянии, частично менялись окна.
2;"1к. смарт - квартира, ЖК ""Венский Дом"", 35м2, ремонт 60%. 109236";"https://www.olx.ua/d/obyavlenie/1k-smart-kvartira-zhk-venskiy-dom-35m2-remont-60-109236-IDMY06l.html#ea76f6cdc2;promoted";Киевский;27000.0;Бизнес;4;2;1;"Продам реальную смарт- квартиру, в ЖК"" Венский Дом"". Квартира находится на 2 этаже 4 - этажного дома. В квартире выполнен чатично ремонт ( состояние готовности - 60%). Дом сдан и активно заселяется. До метро Героев труда - 20 минут пешком. Рядом вся необходимая инфраструктура, школы, детские садики, остановки транспорта.  kn.ua/r/109236 ; ID объекта - RE-109236."
3;Продам квартиру площадью 23 м кв!Цена  16600$;"https://www.olx.ua/d/obyavlenie/prodam-kvartiru-ploschadyu-23-m-kv-tsena-16600-IDMXn8p.html#ea76f6cdc2;promoted";Основянский;16600.0;Бизнес;2;1;1;"Старт продаж!Акционная цена!
Вашему вниманию предлагается двухъярусная квартира площадью 23 м кв в новом жилом многоквартирном доме на площади Героев Небесной Сотни. Отличное расположение- центр, благоустроенная набережная реки Харьков, метро в пешей доступности. Парки, скверы, супермаркет, общественный транспорт рядом.
Дом построен из кирпича, утеплен базальтовой ватой и зашит вентилируемой фасадной системой. Установлены пятикамерные, трехстекольные энергосберегающие окна. 
Перегородке выполнены из газобетона, оштукатурены гипсовой штукатуркой, на полу выполнена стяжка, потолки зашиты гипсокартоном, разведена электрика для розеток, электроприборов и освещения. Для доведения квартиры до жилого состояния необходимо всего лишь провести финальную отделку и установить мебель!
Дом сдан в эксплуатацию и подключен ко всем инженерным сетям. Отопление-центральное, на вводе в дом установлен теплосчетчик. 
Площадь квартиры- 23 м кв. 
Цена 16600$"
4;3-х комнатная квартира по Ул.Родниковая 9 а Северная салтовка 1;"https://www.olx.ua/d/obyavlenie/3-h-komnatnaya-kvartira-po-ul-rodnikovaya-9-a-severnaya-saltovka-1-IDMVOhB.html#ea76f6cdc2;promoted";Московский;104000.0;Владелец;14;12;3;Большая светлая 3-х комнатная квартира в обжитом новострое, по ул. Родниковая. Дизайнерский ремонт в светлых тонах, Высокотехнологичное оборудование, техника Bosch, Electrolux, 2  инверторных кондиционера Mitsubishi . Современная кухня с панорамными окнами, обеденной зоной. Полностью укомплектована техникой – посудомойка, духовка с грилем, индукционная плита, вытяжка. Просторная ванна с большой овальной ванной и бойлером. 2 спальни  со встроенными шкафами-купе.  Большой светлый зал с панорамными окнами и кондиционером. Натяжной потолок. В квартире 3 балкона ( 1 застеклен). Теплые полы. Видео домофон на площадке и на улицу. Подъезд с идеальным ремонтом, новые лифты. Шикарный вид на источник с зоной отдыха. Рядом школа, детский сад, несколько супермаркетов.
5;408859 Продам трехкомнатную квартиру возле метро Холодная гора;https://www.olx.ua/d/obyavlenie/408859-prodam-trehkomnatnuyu-kvartiru-vozle-metro-holodnaya-gora-IDMVV3w.html#ea76f6cdc2;Новобаварский;47000.0;Бизнес;10;8;3;Продам трехкомнатную квартиру , с капитальным ремонтом. 60 кв.м., 8/10. Кухня-студия + 2 спальни. Балкон + лоджия (оба застеклены). С/у раздельный. Продажа с мебелью и техникой. Рядом круглосуточные магазины, несколько школ, детский сад. До метро Холодная гора 5 мин.
6;Реальная 1-комн, ул. Целиноградская, р-н Алексеевка 109086;https://www.olx.ua/d/obyavlenie/realnaya-1-komn-ul-tselinogradskaya-r-n-alekseevka-109086-IDMN2HM.html#ea76f6cdc2;Слободской;45000.0;Бизнес;5;1;3;"Продам 3комнатную квартиру на Одесской, по ул. Ньютона. Квартира находится на 1 этаже 5 - этажного дома. Общая площадь - 51м2, жилая - 35м2, кухня - 6м2. В квартире выполнен капитальный ремонт, заменены все коммуникации, новая проводка, обратный клапан на канализации, МПО. Пристройка теплая - 12м2 ( есть возможность узаконить). Остается встроенная кухня, техника, шкаф - купе, бойлер, домофон, сигнализация.    Рядом вся необходимая инфраструктура: супермаркеты : ""Чудо"", ""АТБ"", ""Класс"", ТРЦ ""Sun Mall"", рынок, школа и детский сад.  kn.ua/r/109086 ; ID объекта - RE-109086."
7;4к. ХТЗ, м. Масельского, Тракторный завод, ул. Рыбалко. 75м2.  108761;https://www.olx.ua/d/obyavlenie/4k-htz-m-maselskogo-traktornyy-zavod-ul-rybalko-75m2-108761-IDMIEXD.html#ea76f6cdc2;Индустриальный;55000.0;Бизнес;16;8;4;"Продам реальную 3-комнатную квартиру на ХТЗ, недалеко от станции метро Масельского, по ул. Рыбалко. 8 этаж 16 этажного дома. Общая площадь - 75м2, жилая - 55м2, кухня - 9м2. В квартире четыре просторные, светлые комнаты, большая кухня, три застекленных балкона.
Частично выполнен капитальный ремонт.
Установлены МПО, новые радиаторы, внутренняя разводка труб, бронированная дверь, бойлер, кондиционер, встроенная кухня, шкаф-купе.
Ремонт в подъезде, хорошие соседи, новые лифты, счетчик тепла на доме, во дворе детская площадка. Рядом вся необходимая инфраструктура: детские сады, школы, супермаркеты ""Экватор"", ""Сильпо"", рынок, сквер ""ХТЗ"".  kn.ua/r/108761 ; ID объекта - RE-108761."
8;Продается 1-комнатная квартира в одном из лучших мест города -Одесская;https://www.olx.ua/d/obyavlenie/prodaetsya-1-komnatnaya-kvartira-v-odnom-iz-luchshih-mest-goroda-odesskaya-IDMD1bZ.html#ea76f6cdc2;Основянский;31500.0;Бизнес;9;3;1;Продается 1-комнатная квартира в одном из лучших мест города - район улицы Одесской. Рядом хорошая,  транспортная развязка и будущая станция метро, супермаркеты, школы и все необходимое для комфортной жизни. В квартире сделан ремонт, продается с мебелью и техникой.
9;2комн. ЖК Мира 3, ХТЗ, м. Индустриальная (Пролетарская), 57м2, 108546;https://www.olx.ua/d/obyavlenie/2komn-zhk-mira-3-htz-m-industrialnaya-proletarskaya-57m2-108546-IDMIFIG.html#ea76f6cdc2;Индустриальный;38000.0;Бизнес;9;8;2;"Продам реальную 2-комнатную квартиру в новострое на ХТЗ, ЖК Мира 3, возле станции метро Индустриальная (Пролетарская). 8 этаж 9 этажного дома. Общая площадь - 57.4м2, жилая - 15м2, кухня - 11м2. Квартира в строительном состоянии, установлены МПО, радиаторы отопления, металлические входные двери. Горизонтальная система отопления позволяет установить индивидуальный счетчик отопления на квартиру. Рядом вся необходимая инфраструктура: детские сады, школы, супермаркеты ""Класс"", ""Восторг"",  ""АТБ"", автобусный терминал, сквер ""Зеленый Гай"".  3D-тур этого объекта вы можете посмотреть на нашем сайте: kn.ua/r3d/108546 ; ID объекта - RE-108546."
